"AAR","AARMND","ANTALL_ARBEIDSSOKERE","PROSENT_AV_ARBEIDSSTYRKEN","HOVEDGRUPPETEKST","BOSTED_FYLKE_NR_NAVN","BOSTED_KOMMUNE_NR_NAVN"
2024,202410,22127,".7","Delvis ledige","I alt","I alt"
2025,202508,64702,"2.2","Helt ledige","I alt","I alt"
2024,202402,62506,"2.1","Helt ledige","I alt","I alt"
2025,202506,12467,".4","Arbeidssøkere på tiltak","I alt","I alt"
2024,202404,58406,"2","Helt ledige","I alt","I alt"
2025,202503,18478,".6","Arbeidssøkere på tiltak","I alt","I alt"
2025,202503,64503,"2.1","Helt ledige","I alt","I alt"
2024,202412,23589,".8","Delvis ledige","I alt","I alt"
2025,202505,23227,".8","Delvis ledige","I alt","I alt"
2024,202407,11422,".4","Arbeidssøkere på tiltak","I alt","I alt"
2025,202502,17908,".6","Arbeidssøkere på tiltak","I alt","I alt"
2025,202505,15279,".5","Arbeidssøkere på tiltak","I alt","I alt"
2024,202408,19773,".7","Delvis ledige","I alt","I alt"
2025,202501,67821,"2.3","Helt ledige","I alt","I alt"
2025,202503,23867,".8","Delvis ledige","I alt","I alt"
2024,202405,15266,".5","Arbeidssøkere på tiltak","I alt","I alt"
2024,202403,61071,"2","Helt ledige","I alt","I alt"
2024,202405,23444,".8","Delvis ledige","I alt","I alt"
2025,202507,17797,".6","Delvis ledige","I alt","I alt"
2024,202411,58888,"2","Helt ledige","I alt","I alt"
2024,202403,15292,".5","Arbeidssøkere på tiltak","I alt","I alt"
2025,202507,9258,".3","Arbeidssøkere på tiltak","I alt","I alt"
2025,202501,16689,".6","Arbeidssøkere på tiltak","I alt","I alt"
2024,202404,24253,".8","Delvis ledige","I alt","I alt"
2025,202504,22565,".8","Delvis ledige","I alt","I alt"
2024,202408,12954,".4","Arbeidssøkere på tiltak","I alt","I alt"
2024,202408,60933,"2","Helt ledige","I alt","I alt"
2024,202402,14847,".5","Arbeidssøkere på tiltak","I alt","I alt"
2025,202504,15577,".5","Arbeidssøkere på tiltak","I alt","I alt"
2024,202402,24756,".8","Delvis ledige","I alt","I alt"
2024,202411,22670,".8","Delvis ledige","I alt","I alt"
2025,202506,60614,"2","Helt ledige","I alt","I alt"
2025,202502,65947,"2.2","Helt ledige","I alt","I alt"
2024,202405,56300,"1.9","Helt ledige","I alt","I alt"
2024,202401,22501,".8","Delvis ledige","I alt","I alt"
2024,202410,58052,"1.9","Helt ledige","I alt","I alt"
2024,202406,13282,".4","Arbeidssøkere på tiltak","I alt","I alt"
2024,202403,24830,".8","Delvis ledige","I alt","I alt"
2025,202501,21854,".7","Delvis ledige","I alt","I alt"
2024,202409,21489,".7","Delvis ledige","I alt","I alt"
2024,202409,14768,".5","Arbeidssøkere på tiltak","I alt","I alt"
2025,202508,10135,".3","Arbeidssøkere på tiltak","I alt","I alt"
2024,202409,58860,"2","Helt ledige","I alt","I alt"
2025,202502,23662,".8","Delvis ledige","I alt","I alt"
2025,202507,64992,"2.2","Helt ledige","I alt","I alt"
2025,202508,20379,".7","Delvis ledige","I alt","I alt"
2024,202407,62558,"2.1","Helt ledige","I alt","I alt"
2024,202410,16042,".5","Arbeidssøkere på tiltak","I alt","I alt"
2024,202401,62933,"2.1","Helt ledige","I alt","I alt"
2025,202505,59566,"2","Helt ledige","I alt","I alt"
2024,202407,16965,".6","Delvis ledige","I alt","I alt"
2024,202406,56953,"1.9","Helt ledige","I alt","I alt"
2024,202404,15739,".5","Arbeidssøkere på tiltak","I alt","I alt"
2024,202412,60577,"2","Helt ledige","I alt","I alt"
2024,202401,13777,".5","Arbeidssøkere på tiltak","I alt","I alt"
2024,202412,16689,".6","Arbeidssøkere på tiltak","I alt","I alt"
2025,202504,60622,"2","Helt ledige","I alt","I alt"
2025,202506,23878,".8","Delvis ledige","I alt","I alt"
2024,202411,16768,".6","Arbeidssøkere på tiltak","I alt","I alt"
2024,202406,23612,".8","Delvis ledige","I alt","I alt"
2024,202409,200,".2","Delvis ledige","Ukjent","I alt"
2025,202503,11,"0","Helt ledige","Ukjent","I alt"
2025,202504,8,"0","Helt ledige","Ukjent","I alt"
2025,202507,154,".2","Delvis ledige","Ukjent","I alt"
2025,202504,26,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202501,24,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202402,13,"0","Helt ledige","Ukjent","I alt"
2024,202402,290,".3","Delvis ledige","Ukjent","I alt"
2024,202406,262,".3","Delvis ledige","Ukjent","I alt"
2025,202508,11,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202408,18,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202507,14,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202407,199,".2","Delvis ledige","Ukjent","I alt"
2025,202506,3,"0","Helt ledige","Ukjent","I alt"
2025,202508,181,".2","Delvis ledige","Ukjent","I alt"
2024,202405,22,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202407,6,"0","Helt ledige","Ukjent","I alt"
2024,202412,11,"0","Helt ledige","Ukjent","I alt"
2025,202505,202,".2","Delvis ledige","Ukjent","I alt"
2025,202502,11,"0","Helt ledige","Ukjent","I alt"
2024,202406,18,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202504,222,".3","Delvis ledige","Ukjent","I alt"
2025,202501,10,"0","Helt ledige","Ukjent","I alt"
2024,202410,24,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202506,18,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202503,256,".3","Delvis ledige","Ukjent","I alt"
2024,202401,13,"0","Helt ledige","Ukjent","I alt"
2024,202401,17,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202411,8,"0","Helt ledige","Ukjent","I alt"
2025,202503,24,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202502,295,".3","Delvis ledige","Ukjent","I alt"
2024,202412,27,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202508,5,"0","Helt ledige","Ukjent","I alt"
2024,202403,288,".3","Delvis ledige","Ukjent","I alt"
2024,202405,8,"0","Helt ledige","Ukjent","I alt"
2024,202406,8,"0","Helt ledige","Ukjent","I alt"
2024,202404,6,"0","Helt ledige","Ukjent","I alt"
2024,202404,342,".4","Delvis ledige","Ukjent","I alt"
2025,202506,210,".2","Delvis ledige","Ukjent","I alt"
2025,202505,12,"0","Helt ledige","Ukjent","I alt"
2024,202405,298,".3","Delvis ledige","Ukjent","I alt"
2024,202410,8,"0","Helt ledige","Ukjent","I alt"
2024,202402,18,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202403,19,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202409,8,"0","Helt ledige","Ukjent","I alt"
2024,202401,237,".3","Delvis ledige","Ukjent","I alt"
2025,202505,22,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2025,202502,24,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202411,264,".3","Delvis ledige","Ukjent","I alt"
2024,202407,18,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202404,20,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
2024,202408,194,".2","Delvis ledige","Ukjent","I alt"
2024,202408,5,"0","Helt ledige","Ukjent","I alt"
2024,202403,7,"0","Helt ledige","Ukjent","I alt"
2024,202409,22,"0","Arbeidssøkere på tiltak","Ukjent","I alt"
